pcid,timestep,community,growth_rate,density_change,degree_change,fraud_growth,clustering_change,feature_drift,variance_drift,lifetime,persistence,average_match_score,node_churn,structural_stability,is_fraud_community,afei,feature_contributions
6,21,11,-0.1515151515151515,0.1785714285714284,-0.0434782608695651,1.357142857142857,0.0,4.610801345166044,0.2957095616678967,2,0.4,0.8591,1.8484848484848484,0.9310843373493978,1,0.3880724006383685,"{'growth_rate': np.float64(0.02556065239551479), 'density_change': np.float64(0.02946428571428571), 'degree_change': np.float64(0.06194616977225673), 'fraud_growth': np.float64(0.2), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.011811373516494297), 'variance_drift': np.float64(0.001518092208118625), 'node_churn': np.float64(0.012780326197757392), 'structural_stability': np.float64(0.006728590035818938)}"
11,21,18,0.6666666666666666,-0.1692307692307691,0.5306122448979593,-1.0,0.0,4.278829689108831,0.7300303872769763,2,0.4,0.90335,2.6666666666666665,0.8108452138492872,0,0.2661130740148967,"{'growth_rate': np.float64(0.05101936799184507), 'density_change': np.float64(0.020769230769230776), 'degree_change': np.float64(0.0991253644314869), 'fraud_growth': np.float64(0.0), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.010931407399159212), 'variance_drift': np.float64(0.0020269555218477143), 'node_churn': np.float64(0.02550968399592253), 'structural_stability': np.float64(0.018468153107282437)}"
15,21,9,0.0,0.0,0.0,0.0,0.0,9.08010379424121,0.0,3,0.6,0.9154666666666668,2.0,1.0,0,0.2831160471027424,"{'growth_rate': np.float64(0.030275229357798167), 'density_change': np.float64(0.025), 'degree_change': np.float64(0.06476190476190477), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.02365827264643409), 'variance_drift': np.float64(0.0011716300110994528), 'node_churn': np.float64(0.015137614678899083), 'structural_stability': np.float64(0.0)}"
15,22,457,0.0,0.0,0.0,0.0,0.0,4.331653259096176,0.0,3,0.6,0.9154666666666668,2.0,1.0,0,0.2705292027004325,"{'growth_rate': np.float64(0.030275229357798167), 'density_change': np.float64(0.025), 'degree_change': np.float64(0.06476190476190477), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.011071428244124153), 'variance_drift': np.float64(0.0011716300110994528), 'node_churn': np.float64(0.015137614678899083), 'structural_stability': np.float64(0.0)}"
18,21,87,-0.391304347826087,0.6428571428571428,0.0081168831168831,0.0,0.0,3.2580206002766148,0.0641705692854864,4,0.8,0.793975,1.608695652173913,0.8216985326811916,1,0.2835002002096855,"{'growth_rate': np.float64(0.01809932189868369), 'density_change': np.float64(0.04107142857142857), 'degree_change': np.float64(0.06528756957328387), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.008225521537972192), 'variance_drift': np.float64(0.0012468141759036657), 'node_churn': np.float64(0.009049660949341846), 'structural_stability': np.float64(0.01740848785646474)}"
18,22,68,-0.4285714285714285,0.7500000000000001,-0.0925925925925926,0.0,0.0,5.1796593057360765,0.3958866869757202,4,0.8,0.793975,1.5714285714285714,0.780722891566265,1,0.2874002685659689,"{'growth_rate': np.float64(0.01693971166448231), 'density_change': np.float64(0.043750000000000004), 'degree_change': np.float64(0.05876543209876544), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.01331926047534869), 'variance_drift': np.float64(0.0016354627345549417), 'node_churn': np.float64(0.008469855832241155), 'structural_stability': np.float64(0.021409150113969405)}"
18,23,178,-0.625,1.6666666666666663,-0.2380952380952381,0.0,0.0,5.946980346107368,-0.4973486400708091,4,0.8,0.793975,1.375,0.6116504854368933,1,0.309220562586224,"{'growth_rate': np.float64(0.01082759938837921), 'density_change': np.float64(0.06666666666666667), 'degree_change': np.float64(0.04934240362811792), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.01535321880981769), 'variance_drift': np.float64(0.000588921418412993), 'node_churn': np.float64(0.005413799694189605), 'structural_stability': np.float64(0.03791655733403306)}"
20,21,86,-0.4117647058823529,0.65,-0.048,-0.2714285714285714,-1.0,3.0201950411189493,0.0515645532925223,2,0.4,0.8913,1.588235294117647,0.6385696040868455,1,0.2350309859907948,"{'growth_rate': np.float64(0.017462673142651562), 'density_change': np.float64(0.04125), 'degree_change': np.float64(0.06165333333333334), 'fraud_growth': np.float64(0.06181818181818184), 'clustering_change': np.float64(0.0), 'feature_drift': np.float64(0.007595110989130188), 'variance_drift': np.float64(0.0012320445892459093), 'node_churn': np.float64(0.008731336571325778), 'structural_stability': np.float64(0.03528830554692624)}"
21,21,30,0.0,0.0,0.21875,-1.0,0.0,3.9102818072100862,-0.2332692874607253,3,0.6,0.7920000000000001,2.0,0.9320388349514562,0,0.2050925362151447,"{'growth_rate': np.float64(0.030275229357798167), 'density_change': np.float64(0.025), 'degree_change': np.float64(0.07892857142857145), 'fraud_growth': np.float64(0.0), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.00995448770505552), 'variance_drift': np.float64(0.0008983247132426816), 'node_churn': np.float64(0.015137614678899083), 'structural_stability': np.float64(0.006635397533455801)}"
21,22,1,1.3125,-0.5435435435435436,-0.1018711018711019,0.0,0.0,4.371468487664506,0.286426072942676,3,0.6,0.7920000000000001,3.3125,0.8229516507192192,0,0.3293305460962811,"{'growth_rate': np.float64(0.07111525229357799), 'density_change': np.float64(0.01141141141141141), 'degree_change': np.float64(0.058164538164538176), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.011176967531755518), 'variance_drift': np.float64(0.001507215394120453), 'node_churn': np.float64(0.03555762614678899), 'structural_stability': np.float64(0.017286139507481646)}"
