pcid,timestep,community,growth_rate,density_change,degree_change,fraud_growth,clustering_change,feature_drift,variance_drift,lifetime,persistence,average_match_score,node_churn,structural_stability,is_fraud_community
6,21,11,-0.15151515151515152,0.17857142857142846,-0.04347826086956518,1.357142857142857,0.0,4.610801345166044,0.2957095616678967,2,0.4,0.8591,1.8484848484848484,0.9310843373493978,1
11,21,18,0.6666666666666666,-0.16923076923076913,0.5306122448979593,-1.0,0.0,4.278829689108831,0.7300303872769763,2,0.4,0.90335,2.6666666666666665,0.8108452138492872,0
15,21,9,0.0,0.0,0.0,0.0,0.0,9.08010379424121,0.0,3,0.6,0.9154666666666667,2.0,1.0,0
15,22,457,0.0,0.0,0.0,0.0,0.0,4.331653259096176,0.0,3,0.6,0.9154666666666667,2.0,1.0,0
18,21,87,-0.391304347826087,0.6428571428571428,0.008116883116883102,0.0,0.0,3.2580206002766148,0.06417056928548648,4,0.8,0.793975,1.608695652173913,0.8216985326811916,1
18,22,68,-0.42857142857142855,0.7500000000000001,-0.0925925925925926,0.0,0.0,5.1796593057360765,0.3958866869757202,4,0.8,0.793975,1.5714285714285714,0.780722891566265,1
18,23,178,-0.625,1.6666666666666665,-0.23809523809523814,0.0,0.0,5.946980346107368,-0.49734864007080914,4,0.8,0.793975,1.375,0.6116504854368933,1
20,21,86,-0.4117647058823529,0.65,-0.04800000000000003,-0.2714285714285714,-1.0,3.0201950411189493,0.05156455329252236,2,0.4,0.8913,1.588235294117647,0.6385696040868455,1
21,21,30,0.0,0.0,0.21875,-1.0,0.0,3.9102818072100862,-0.23326928746072537,3,0.6,0.7920000000000001,2.0,0.9320388349514562,0
21,22,1,1.3125,-0.5435435435435436,-0.10187110187110193,0.0,0.0,4.371468487664506,0.286426072942676,3,0.6,0.7920000000000001,3.3125,0.8229516507192192,0
23,21,26,-0.23333333333333334,0.3043478260869565,-0.06832298136645966,-1.0,0.0,3.850782847889469,1.6155996629002356,4,0.8,0.7716,1.7666666666666666,0.8895027624309392,0
23,22,4,-0.13043478260869565,0.1500000000000001,-0.003333333333333371,0.0,0.0,6.695151250923798,1.0025645442215425,4,0.8,0.7716,1.8695652173913044,0.9513742071881607,1
23,23,5,0.25,-0.20000000000000004,0.08717948717948726,-1.0,0.0,13.48731125805076,2.28938504621767,4,0.8,0.7716,2.25,0.9126365054602184,0
25,21,131,0.0,0.0,0.0,0.0,0.0,5.068131453712591,-0.2963165471061302,4,0.8,0.7503,2.0,1.0,0
25,22,3,1.6666666666666667,-0.6250000000000001,0.10156250000000001,0.0,0.0,3.331837258656834,0.09958367472233026,4,0.8,0.7503,3.6666666666666665,0.8050314465408805,0
25,23,41,-0.75,3.0,-0.1489361702127659,0.0,0.0,4.930276709631565,0.06962962604897614,4,0.8,0.7503,1.25,0.48788927335640137,0
28,21,0,-0.2857142857142857,0.30344827586206913,-0.051612903225806465,-0.46153846153846156,0.0,3.081884886897907,2.8668225753025287,2,0.4,0.87515,1.7142857142857142,0.894171474040183,1
38,21,19,0.0,0.0,0.0,0.0,0.0,0.17673218854350858,0.0,3,0.6,0.9995333333333334,2.0,1.0,1
38,22,36,0.0,0.0,0.0,0.0,0.0,0.2361027135057836,0.0,3,0.6,0.9995333333333334,2.0,1.0,1
39,21,91,0.0,0.0,0.0,0.0,0.0,7.874439953537694,1.0338928540080448,4,0.8,0.7692500000000001,2.0,1.0,0
