timestep,graph,community,previous_community,score,pcid
20,DiGraph with 900 nodes and 613 edges,0,,1.0,0
20,DiGraph with 900 nodes and 613 edges,1,,1.0,1
20,DiGraph with 900 nodes and 613 edges,2,,1.0,2
20,DiGraph with 900 nodes and 613 edges,3,,1.0,3
20,DiGraph with 900 nodes and 613 edges,4,,1.0,4
20,DiGraph with 900 nodes and 613 edges,5,,1.0,5
20,DiGraph with 900 nodes and 613 edges,15,,1.0,6
21,DiGraph with 641 nodes and 518 edges,11,15.0,0.7182,6
20,DiGraph with 900 nodes and 613 edges,7,,1.0,7
20,DiGraph with 900 nodes and 613 edges,8,,1.0,8
20,DiGraph with 900 nodes and 613 edges,9,,1.0,9
20,DiGraph with 900 nodes and 613 edges,10,,1.0,10
20,DiGraph with 900 nodes and 613 edges,11,,1.0,11
21,DiGraph with 641 nodes and 518 edges,18,11.0,0.8067,11
20,DiGraph with 900 nodes and 613 edges,12,,1.0,12
20,DiGraph with 900 nodes and 613 edges,13,,1.0,13
20,DiGraph with 900 nodes and 613 edges,14,,1.0,14
20,DiGraph with 900 nodes and 613 edges,16,,1.0,15
21,DiGraph with 641 nodes and 518 edges,9,16.0,0.8145,15
22,DiGraph with 1763 nodes and 1537 edges,457,9.0,0.9319,15
20,DiGraph with 900 nodes and 613 edges,17,,1.0,16
20,DiGraph with 900 nodes and 613 edges,18,,1.0,17
20,DiGraph with 900 nodes and 613 edges,19,,1.0,18
21,DiGraph with 641 nodes and 518 edges,87,19.0,0.8334,18
22,DiGraph with 1763 nodes and 1537 edges,68,87.0,0.711,18
23,DiGraph with 1187 nodes and 1046 edges,178,68.0,0.6315,18
20,DiGraph with 900 nodes and 613 edges,20,,1.0,19
20,DiGraph with 900 nodes and 613 edges,21,,1.0,20
21,DiGraph with 641 nodes and 518 edges,86,21.0,0.7826,20
20,DiGraph with 900 nodes and 613 edges,22,,1.0,21
21,DiGraph with 641 nodes and 518 edges,30,22.0,0.6968,21
22,DiGraph with 1763 nodes and 1537 edges,1,30.0,0.6792,21
20,DiGraph with 900 nodes and 613 edges,23,,1.0,22
20,DiGraph with 900 nodes and 613 edges,24,,1.0,23
21,DiGraph with 641 nodes and 518 edges,26,24.0,0.7079,23
22,DiGraph with 1763 nodes and 1537 edges,4,26.0,0.7051,23
23,DiGraph with 1187 nodes and 1046 edges,5,4.0,0.6734,23
20,DiGraph with 900 nodes and 613 edges,25,,1.0,24
20,DiGraph with 900 nodes and 613 edges,26,,1.0,25
21,DiGraph with 641 nodes and 518 edges,131,26.0,0.6807,25
22,DiGraph with 1763 nodes and 1537 edges,3,131.0,0.6734,25
23,DiGraph with 1187 nodes and 1046 edges,41,3.0,0.6471,25
20,DiGraph with 900 nodes and 613 edges,27,,1.0,26
20,DiGraph with 900 nodes and 613 edges,28,,1.0,27
20,DiGraph with 900 nodes and 613 edges,29,,1.0,28
21,DiGraph with 641 nodes and 518 edges,0,29.0,0.7503,28
20,DiGraph with 900 nodes and 613 edges,30,,1.0,29
20,DiGraph with 900 nodes and 613 edges,31,,1.0,30
20,DiGraph with 900 nodes and 613 edges,32,,1.0,31
20,DiGraph with 900 nodes and 613 edges,91,,1.0,32
20,DiGraph with 900 nodes and 613 edges,34,,1.0,33
20,DiGraph with 900 nodes and 613 edges,35,,1.0,34
20,DiGraph with 900 nodes and 613 edges,36,,1.0,35
20,DiGraph with 900 nodes and 613 edges,37,,1.0,36
20,DiGraph with 900 nodes and 613 edges,38,,1.0,37
20,DiGraph with 900 nodes and 613 edges,39,,1.0,38
21,DiGraph with 641 nodes and 518 edges,19,39.0,0.9995,38
22,DiGraph with 1763 nodes and 1537 edges,36,19.0,0.9991,38
20,DiGraph with 900 nodes and 613 edges,40,,1.0,39
21,DiGraph with 641 nodes and 518 edges,91,40.0,0.7532,39
22,DiGraph with 1763 nodes and 1537 edges,217,91.0,0.6356,39
23,DiGraph with 1187 nodes and 1046 edges,67,217.0,0.6882,39
20,DiGraph with 900 nodes and 613 edges,41,,1.0,40
21,DiGraph with 641 nodes and 518 edges,181,41.0,0.8638,40
22,DiGraph with 1763 nodes and 1537 edges,137,181.0,0.8906,40
20,DiGraph with 900 nodes and 613 edges,43,,1.0,41
20,DiGraph with 900 nodes and 613 edges,44,,1.0,42
21,DiGraph with 641 nodes and 518 edges,53,44.0,0.8975,42
20,DiGraph with 900 nodes and 613 edges,45,,1.0,43
20,DiGraph with 900 nodes and 613 edges,46,,1.0,44
20,DiGraph with 900 nodes and 613 edges,47,,1.0,45
20,DiGraph with 900 nodes and 613 edges,48,,1.0,46
20,DiGraph with 900 nodes and 613 edges,49,,1.0,47
20,DiGraph with 900 nodes and 613 edges,50,,1.0,48
20,DiGraph with 900 nodes and 613 edges,51,,1.0,49
21,DiGraph with 641 nodes and 518 edges,67,51.0,0.9962,49
20,DiGraph with 900 nodes and 613 edges,52,,1.0,50
21,DiGraph with 641 nodes and 518 edges,69,52.0,0.9985,50
20,DiGraph with 900 nodes and 613 edges,53,,1.0,51
20,DiGraph with 900 nodes and 613 edges,54,,1.0,52
20,DiGraph with 900 nodes and 613 edges,55,,1.0,53
20,DiGraph with 900 nodes and 613 edges,56,,1.0,54
20,DiGraph with 900 nodes and 613 edges,57,,1.0,55
21,DiGraph with 641 nodes and 518 edges,17,57.0,0.7404,55
22,DiGraph with 1763 nodes and 1537 edges,316,17.0,0.6745,55
23,DiGraph with 1187 nodes and 1046 edges,27,316.0,0.7563,55
24,DiGraph with 1126 nodes and 961 edges,89,27.0,0.6358,55
20,DiGraph with 900 nodes and 613 edges,58,,1.0,56
21,DiGraph with 641 nodes and 518 edges,140,58.0,0.7163,56
22,DiGraph with 1763 nodes and 1537 edges,396,140.0,0.6699,56
23,DiGraph with 1187 nodes and 1046 edges,157,396.0,0.8674,56
24,DiGraph with 1126 nodes and 961 edges,177,157.0,0.9727,56
20,DiGraph with 900 nodes and 613 edges,59,,1.0,57
20,DiGraph with 900 nodes and 613 edges,60,,1.0,58
20,DiGraph with 900 nodes and 613 edges,61,,1.0,59
20,DiGraph with 900 nodes and 613 edges,62,,1.0,60
20,DiGraph with 900 nodes and 613 edges,63,,1.0,61
20,DiGraph with 900 nodes and 613 edges,65,,1.0,62
21,DiGraph with 641 nodes and 518 edges,233,65.0,0.9994,62
22,DiGraph with 1763 nodes and 1537 edges,233,233.0,0.9987,62
20,DiGraph with 900 nodes and 613 edges,66,,1.0,63
20,DiGraph with 900 nodes and 613 edges,67,,1.0,64
20,DiGraph with 900 nodes and 613 edges,68,,1.0,65
20,DiGraph with 900 nodes and 613 edges,69,,1.0,66
21,DiGraph with 641 nodes and 518 edges,52,69.0,0.6332,66
20,DiGraph with 900 nodes and 613 edges,70,,1.0,67
20,DiGraph with 900 nodes and 613 edges,71,,1.0,68
20,DiGraph with 900 nodes and 613 edges,72,,1.0,69
20,DiGraph with 900 nodes and 613 edges,73,,1.0,70
20,DiGraph with 900 nodes and 613 edges,75,,1.0,71
21,DiGraph with 641 nodes and 518 edges,126,75.0,0.8726,71
20,DiGraph with 900 nodes and 613 edges,76,,1.0,72
20,DiGraph with 900 nodes and 613 edges,77,,1.0,73
20,DiGraph with 900 nodes and 613 edges,78,,1.0,74
21,DiGraph with 641 nodes and 518 edges,70,78.0,0.6628,74
22,DiGraph with 1763 nodes and 1537 edges,109,70.0,0.7214,74
23,DiGraph with 1187 nodes and 1046 edges,174,109.0,0.6603,74
24,DiGraph with 1126 nodes and 961 edges,248,174.0,0.7797,74
20,DiGraph with 900 nodes and 613 edges,79,,1.0,75
20,DiGraph with 900 nodes and 613 edges,80,,1.0,76
20,DiGraph with 900 nodes and 613 edges,81,,1.0,77
20,DiGraph with 900 nodes and 613 edges,82,,1.0,78
20,DiGraph with 900 nodes and 613 edges,83,,1.0,79
21,DiGraph with 641 nodes and 518 edges,237,83.0,0.8871,79
22,DiGraph with 1763 nodes and 1537 edges,302,237.0,0.877,79
20,DiGraph with 900 nodes and 613 edges,84,,1.0,80
20,DiGraph with 900 nodes and 613 edges,85,,1.0,81
20,DiGraph with 900 nodes and 613 edges,86,,1.0,82
21,DiGraph with 641 nodes and 518 edges,113,86.0,0.7172,82
22,DiGraph with 1763 nodes and 1537 edges,37,113.0,0.8562,82
23,DiGraph with 1187 nodes and 1046 edges,24,37.0,0.6775,82
20,DiGraph with 900 nodes and 613 edges,87,,1.0,83
20,DiGraph with 900 nodes and 613 edges,88,,1.0,84
21,DiGraph with 641 nodes and 518 edges,119,88.0,0.8645,84
22,DiGraph with 1763 nodes and 1537 edges,318,119.0,0.8908,84
23,DiGraph with 1187 nodes and 1046 edges,197,318.0,0.855,84
24,DiGraph with 1126 nodes and 961 edges,127,197.0,0.8831,84
20,DiGraph with 900 nodes and 613 edges,89,,1.0,85
21,DiGraph with 641 nodes and 518 edges,171,89.0,0.824,85
22,DiGraph with 1763 nodes and 1537 edges,476,171.0,0.809,85
23,DiGraph with 1187 nodes and 1046 edges,187,476.0,0.8714,85
24,DiGraph with 1126 nodes and 961 edges,192,187.0,0.7963,85
20,DiGraph with 900 nodes and 613 edges,90,,1.0,86
20,DiGraph with 900 nodes and 613 edges,92,,1.0,87
20,DiGraph with 900 nodes and 613 edges,93,,1.0,88
20,DiGraph with 900 nodes and 613 edges,94,,1.0,89
20,DiGraph with 900 nodes and 613 edges,95,,1.0,90
20,DiGraph with 900 nodes and 613 edges,96,,1.0,91
20,DiGraph with 900 nodes and 613 edges,97,,1.0,92
21,DiGraph with 641 nodes and 518 edges,12,97.0,0.6561,92
22,DiGraph with 1763 nodes and 1537 edges,25,12.0,0.7475,92
23,DiGraph with 1187 nodes and 1046 edges,99,25.0,0.7013,92
20,DiGraph with 900 nodes and 613 edges,98,,1.0,93
21,DiGraph with 641 nodes and 518 edges,76,98.0,0.9952,93
22,DiGraph with 1763 nodes and 1537 edges,524,76.0,0.9924,93
23,DiGraph with 1187 nodes and 1046 edges,202,524.0,0.9873,93
24,DiGraph with 1126 nodes and 961 edges,239,202.0,0.9777,93
20,DiGraph with 900 nodes and 613 edges,99,,1.0,94
20,DiGraph with 900 nodes and 613 edges,100,,1.0,95
21,DiGraph with 641 nodes and 518 edges,99,100.0,0.9367,95
20,DiGraph with 900 nodes and 613 edges,101,,1.0,96
20,DiGraph with 900 nodes and 613 edges,102,,1.0,97
20,DiGraph with 900 nodes and 613 edges,103,,1.0,98
20,DiGraph with 900 nodes and 613 edges,104,,1.0,99
20,DiGraph with 900 nodes and 613 edges,105,,1.0,100
21,DiGraph with 641 nodes and 518 edges,170,105.0,0.8906,100
22,DiGraph with 1763 nodes and 1537 edges,159,170.0,0.8959,100
20,DiGraph with 900 nodes and 613 edges,106,,1.0,101
20,DiGraph with 900 nodes and 613 edges,107,,1.0,102
20,DiGraph with 900 nodes and 613 edges,108,,1.0,103
21,DiGraph with 641 nodes and 518 edges,129,108.0,0.9455,103
22,DiGraph with 1763 nodes and 1537 edges,460,129.0,0.8779,103
23,DiGraph with 1187 nodes and 1046 edges,140,460.0,0.8335,103
20,DiGraph with 900 nodes and 613 edges,109,,1.0,104
20,DiGraph with 900 nodes and 613 edges,110,,1.0,105
20,DiGraph with 900 nodes and 613 edges,111,,1.0,106
20,DiGraph with 900 nodes and 613 edges,112,,1.0,107
20,DiGraph with 900 nodes and 613 edges,113,,1.0,108
20,DiGraph with 900 nodes and 613 edges,114,,1.0,109
20,DiGraph with 900 nodes and 613 edges,115,,1.0,110
21,DiGraph with 641 nodes and 518 edges,61,115.0,0.8901,110
20,DiGraph with 900 nodes and 613 edges,116,,1.0,111
21,DiGraph with 641 nodes and 518 edges,71,116.0,0.7501,111
22,DiGraph with 1763 nodes and 1537 edges,138,71.0,0.849,111
20,DiGraph with 900 nodes and 613 edges,117,,1.0,112
20,DiGraph with 900 nodes and 613 edges,118,,1.0,113
20,DiGraph with 900 nodes and 613 edges,119,,1.0,114
21,DiGraph with 641 nodes and 518 edges,29,119.0,0.8996,114
20,DiGraph with 900 nodes and 613 edges,120,,1.0,115
20,DiGraph with 900 nodes and 613 edges,121,,1.0,116
20,DiGraph with 900 nodes and 613 edges,122,,1.0,117
20,DiGraph with 900 nodes and 613 edges,123,,1.0,118
20,DiGraph with 900 nodes and 613 edges,124,,1.0,119
21,DiGraph with 641 nodes and 518 edges,162,124.0,0.8291,119
20,DiGraph with 900 nodes and 613 edges,125,,1.0,120
20,DiGraph with 900 nodes and 613 edges,126,,1.0,121
21,DiGraph with 641 nodes and 518 edges,73,126.0,0.787,121
22,DiGraph with 1763 nodes and 1537 edges,118,73.0,0.7779,121
23,DiGraph with 1187 nodes and 1046 edges,118,118.0,0.6773,121
24,DiGraph with 1126 nodes and 961 edges,51,118.0,0.8424,121
20,DiGraph with 900 nodes and 613 edges,127,,1.0,122
20,DiGraph with 900 nodes and 613 edges,128,,1.0,123
20,DiGraph with 900 nodes and 613 edges,129,,1.0,124
20,DiGraph with 900 nodes and 613 edges,130,,1.0,125
20,DiGraph with 900 nodes and 613 edges,131,,1.0,126
