,,pcid,previous_community,current_community,score
20,0,0,,0,1.0
20,1,1,,1,1.0
20,2,2,,2,1.0
20,3,3,,3,1.0
20,4,4,,4,1.0
20,5,5,,5,1.0
20,15,6,,15,1.0
20,7,7,,7,1.0
20,8,8,,8,1.0
20,9,9,,9,1.0
20,10,10,,10,1.0
20,11,11,,11,1.0
20,12,12,,12,1.0
20,13,13,,13,1.0
20,14,14,,14,1.0
20,16,15,,16,1.0
20,17,16,,17,1.0
20,18,17,,18,1.0
20,19,18,,19,1.0
20,20,19,,20,1.0
20,21,20,,21,1.0
20,22,21,,22,1.0
20,23,22,,23,1.0
20,24,23,,24,1.0
20,25,24,,25,1.0
20,26,25,,26,1.0
20,27,26,,27,1.0
20,28,27,,28,1.0
20,29,28,,29,1.0
20,30,29,,30,1.0
20,31,30,,31,1.0
20,32,31,,32,1.0
20,91,32,,91,1.0
20,34,33,,34,1.0
20,35,34,,35,1.0
20,36,35,,36,1.0
20,37,36,,37,1.0
20,38,37,,38,1.0
20,39,38,,39,1.0
20,40,39,,40,1.0
20,41,40,,41,1.0
20,43,41,,43,1.0
20,44,42,,44,1.0
20,45,43,,45,1.0
20,46,44,,46,1.0
20,47,45,,47,1.0
20,48,46,,48,1.0
20,49,47,,49,1.0
20,50,48,,50,1.0
20,51,49,,51,1.0
20,52,50,,52,1.0
20,53,51,,53,1.0
20,54,52,,54,1.0
20,55,53,,55,1.0
20,56,54,,56,1.0
20,57,55,,57,1.0
20,58,56,,58,1.0
20,59,57,,59,1.0
20,60,58,,60,1.0
20,61,59,,61,1.0
20,62,60,,62,1.0
20,63,61,,63,1.0
20,65,62,,65,1.0
20,66,63,,66,1.0
20,67,64,,67,1.0
20,68,65,,68,1.0
20,69,66,,69,1.0
20,70,67,,70,1.0
20,71,68,,71,1.0
20,72,69,,72,1.0
20,73,70,,73,1.0
20,75,71,,75,1.0
20,76,72,,76,1.0
20,77,73,,77,1.0
20,78,74,,78,1.0
20,79,75,,79,1.0
20,80,76,,80,1.0
20,81,77,,81,1.0
20,82,78,,82,1.0
20,83,79,,83,1.0
20,84,80,,84,1.0
20,85,81,,85,1.0
20,86,82,,86,1.0
20,87,83,,87,1.0
20,88,84,,88,1.0
20,89,85,,89,1.0
20,90,86,,90,1.0
20,92,87,,92,1.0
20,93,88,,93,1.0
20,94,89,,94,1.0
20,95,90,,95,1.0
20,96,91,,96,1.0
20,97,92,,97,1.0
20,98,93,,98,1.0
20,99,94,,99,1.0
20,100,95,,100,1.0
20,101,96,,101,1.0
20,102,97,,102,1.0
20,103,98,,103,1.0
20,104,99,,104,1.0
20,105,100,,105,1.0
20,106,101,,106,1.0
20,107,102,,107,1.0
20,108,103,,108,1.0
20,109,104,,109,1.0
20,110,105,,110,1.0
20,111,106,,111,1.0
20,112,107,,112,1.0
20,113,108,,113,1.0
20,114,109,,114,1.0
20,115,110,,115,1.0
20,116,111,,116,1.0
20,117,112,,117,1.0
20,118,113,,118,1.0
20,119,114,,119,1.0
20,120,115,,120,1.0
20,121,116,,121,1.0
20,122,117,,122,1.0
20,123,118,,123,1.0
20,124,119,,124,1.0
20,125,120,,125,1.0
20,126,121,,126,1.0
20,127,122,,127,1.0
20,128,123,,128,1.0
20,129,124,,129,1.0
20,130,125,,130,1.0
20,131,126,,131,1.0
20,132,127,,132,1.0
20,133,128,,133,1.0
20,134,129,,134,1.0
20,135,130,,135,1.0
20,136,131,,136,1.0
20,137,132,,137,1.0
20,138,133,,138,1.0
20,139,134,,139,1.0
20,140,135,,140,1.0
20,141,136,,141,1.0
20,142,137,,142,1.0
20,143,138,,143,1.0
20,144,139,,144,1.0
20,145,140,,145,1.0
20,146,141,,146,1.0
20,147,142,,147,1.0
20,148,143,,148,1.0
20,149,144,,149,1.0
20,150,145,,150,1.0
20,151,146,,151,1.0
20,152,147,,152,1.0
20,153,148,,153,1.0
20,154,149,,154,1.0
20,155,150,,155,1.0
20,156,151,,156,1.0
20,157,152,,157,1.0
20,158,153,,158,1.0
20,159,154,,159,1.0
20,160,155,,160,1.0
20,161,156,,161,1.0
20,162,157,,162,1.0
20,163,158,,163,1.0
20,164,159,,164,1.0
20,165,160,,165,1.0
20,166,161,,166,1.0
20,167,162,,167,1.0
20,168,163,,168,1.0
20,169,164,,169,1.0
20,170,165,,170,1.0
20,171,166,,171,1.0
20,172,167,,172,1.0
20,173,168,,173,1.0
20,174,169,,174,1.0
20,175,170,,175,1.0
20,176,171,,176,1.0
20,177,172,,177,1.0
20,178,173,,178,1.0
20,179,174,,179,1.0
20,180,175,,180,1.0
20,181,176,,181,1.0
20,182,177,,182,1.0
20,183,178,,183,1.0
20,184,179,,184,1.0
20,185,180,,185,1.0
20,186,181,,186,1.0
20,187,182,,187,1.0
20,188,183,,188,1.0
20,189,184,,189,1.0
20,190,185,,190,1.0
20,191,186,,191,1.0
20,192,187,,192,1.0
20,193,188,,193,1.0
20,194,189,,194,1.0
20,195,190,,195,1.0
20,196,191,,196,1.0
20,197,192,,197,1.0
20,198,193,,198,1.0
20,199,194,,199,1.0
20,200,195,,200,1.0
20,201,196,,201,1.0
20,202,197,,202,1.0
20,203,198,,203,1.0
20,204,199,,204,1.0
20,205,200,,205,1.0
20,206,201,,206,1.0
20,207,202,,207,1.0
20,208,203,,208,1.0
20,209,204,,209,1.0
20,210,205,,210,1.0
20,211,206,,211,1.0
20,212,207,,212,1.0
20,213,208,,213,1.0
20,214,209,,214,1.0
20,215,210,,215,1.0
20,216,211,,216,1.0
20,217,212,,217,1.0
20,218,213,,218,1.0
20,219,214,,219,1.0
20,220,215,,220,1.0
20,221,216,,221,1.0
20,222,217,,222,1.0
20,223,218,,223,1.0
20,224,219,,224,1.0
20,225,220,,225,1.0
20,226,221,,226,1.0
20,227,222,,227,1.0
20,228,223,,228,1.0
20,229,224,,229,1.0
20,230,225,,230,1.0
20,231,226,,231,1.0
20,232,227,,232,1.0
20,233,228,,233,1.0
20,234,229,,234,1.0
20,235,230,,235,1.0
20,236,231,,236,1.0
20,237,232,,237,1.0
20,238,233,,238,1.0
20,239,234,,239,1.0
20,240,235,,240,1.0
20,241,236,,241,1.0
20,242,237,,242,1.0
20,243,238,,243,1.0
20,244,239,,244,1.0
20,245,240,,245,1.0
20,246,241,,246,1.0
20,247,242,,247,1.0
20,248,243,,248,1.0
20,249,244,,249,1.0
20,250,245,,250,1.0
20,251,246,,251,1.0
20,252,247,,252,1.0
20,253,248,,253,1.0
20,254,249,,254,1.0
20,255,250,,255,1.0
20,256,251,,256,1.0
20,257,252,,257,1.0
20,258,253,,258,1.0
20,259,254,,259,1.0
20,260,255,,260,1.0
20,261,256,,261,1.0
20,262,257,,262,1.0
20,263,258,,263,1.0
20,264,259,,264,1.0
20,265,260,,265,1.0
20,266,261,,266,1.0
20,267,262,,267,1.0
20,268,263,,268,1.0
20,269,264,,269,1.0
20,270,265,,270,1.0
20,271,266,,271,1.0
20,272,267,,272,1.0
20,273,268,,273,1.0
20,274,269,,274,1.0
20,275,270,,275,1.0
20,276,271,,276,1.0
20,277,272,,277,1.0
20,278,273,,278,1.0
20,279,274,,279,1.0
20,280,275,,280,1.0
20,281,276,,281,1.0
20,282,277,,282,1.0
20,283,278,,283,1.0
20,284,279,,284,1.0
20,285,280,,285,1.0
20,286,281,,286,1.0
20,287,282,,287,1.0
20,288,283,,288,1.0
20,289,284,,289,1.0
20,290,285,,290,1.0
20,291,286,,291,1.0
20,292,287,,292,1.0
20,293,288,,293,1.0
20,294,289,,294,1.0
20,295,290,,295,1.0
20,296,291,,296,1.0
20,297,292,,297,1.0
20,298,293,,298,1.0
20,299,294,,299,1.0
20,300,295,,300,1.0
20,301,296,,301,1.0
20,302,297,,302,1.0
20,303,298,,303,1.0
20,304,299,,304,1.0
20,305,300,,305,1.0
20,306,301,,306,1.0
20,307,302,,307,1.0
20,308,303,,308,1.0
20,309,304,,309,1.0
20,310,305,,310,1.0
20,311,306,,311,1.0
20,312,307,,312,1.0
20,313,308,,313,1.0
20,314,309,,314,1.0
20,315,310,,315,1.0
20,316,311,,316,1.0
20,317,312,,317,1.0
20,318,313,,318,1.0
20,319,314,,319,1.0
20,320,315,,320,1.0
20,321,316,,321,1.0
20,322,317,,322,1.0
20,323,318,,323,1.0
20,324,319,,324,1.0
20,325,320,,325,1.0
20,326,321,,326,1.0
20,64,322,,64,1.0
20,33,323,,33,1.0
20,6,324,,6,1.0
20,42,325,,42,1.0
20,74,326,,74,1.0
21,177,151,156.0,177,0.846
21,17,55,57.0,17,0.7404
21,0,28,29.0,0,0.7503
21,56,161,166.0,56,0.7892
21,11,6,15.0,11,0.7182
21,22,284,289.0,22,0.9816
21,12,92,97.0,12,0.6561
21,87,18,19.0,87,0.8334
21,92,208,213.0,92,0.8113
21,18,11,11.0,18,0.8067
21,144,317,322.0,144,0.8271
21,89,156,161.0,89,0.6885
21,113,82,86.0,113,0.7172
21,9,15,16.0,9,0.8145
21,86,20,21.0,86,0.7826
21,135,310,315.0,135,0.9578
21,212,231,236.0,212,0.9326
21,30,21,22.0,30,0.6968
21,26,23,24.0,26,0.7079
21,131,25,26.0,131,0.6807
21,36,321,326.0,36,0.92
21,2,311,316.0,2,0.9503
21,40,301,306.0,40,0.9219
21,32,180,185.0,32,0.7809
21,52,66,69.0,52,0.6332
21,15,238,243.0,15,0.8072
21,145,262,267.0,145,0.815
21,85,138,143.0,85,0.8525
21,214,274,279.0,214,0.9257
21,19,38,39.0,19,0.9995
21,91,39,40.0,91,0.7532
21,181,40,41.0,181,0.8638
21,53,42,44.0,53,0.8975
21,27,232,237.0,27,0.8758
21,71,111,116.0,71,0.7501
21,72,319,324.0,72,0.986
21,67,49,51.0,67,0.9962
21,69,50,52.0,69,0.9985
21,133,261,266.0,133,0.9668
21,117,147,152.0,117,0.7769
21,3,277,282.0,3,0.8037
21,35,307,312.0,35,0.9284
21,140,56,58.0,140,0.7163
21,157,312,317.0,157,0.9951
21,162,119,124.0,162,0.8291
21,233,62,65.0,233,0.9994
21,63,278,283.0,63,0.9931
21,219,272,277.0,219,0.9008
21,168,316,321.0,168,0.9984
21,139,234,239.0,139,0.843
21,119,84,88.0,119,0.8645
21,126,71,75.0,126,0.8726
21,95,130,135.0,95,0.9857
21,70,74,78.0,70,0.6628
21,61,110,115.0,61,0.8901
21,237,79,83.0,237,0.8871
21,169,287,292.0,169,0.9876
21,149,224,229.0,149,0.9939
21,171,85,89.0,171,0.824
21,132,253,258.0,132,0.8533
21,76,93,98.0,76,0.9952
21,99,95,100.0,99,0.9367
21,180,229,234.0,180,0.8336
21,59,174,179.0,59,0.7187
21,187,176,181.0,187,0.7876
21,170,100,105.0,170,0.8906
21,129,103,108.0,129,0.9455
21,134,219,224.0,134,0.9807
21,186,320,325.0,186,0.8899
21,101,258,263.0,101,0.9992
21,107,260,265.0,107,0.9996
21,29,114,119.0,29,0.8996
21,173,205,210.0,173,0.9639
21,48,225,230.0,48,0.9211
21,114,248,253.0,114,0.7696
21,234,282,287.0,234,0.6777
21,73,121,126.0,73,0.787
21,155,270,275.0,155,0.8522
21,183,283,288.0,183,0.9115
21,231,126,131.0,231,0.8915
21,220,127,132.0,220,0.8818
21,216,204,209.0,216,0.8504
21,163,132,137.0,163,0.9105
21,198,134,139.0,198,0.9634
21,108,158,163.0,108,0.9324
21,5,136,141.0,5,0.8081
21,41,137,142.0,41,0.7037
21,120,302,307.0,120,0.9002
21,165,141,146.0,165,0.758
21,58,142,147.0,58,0.9419
21,178,318,323.0,178,0.9438
21,44,148,153.0,44,0.8273
21,191,309,314.0,191,0.9734
21,74,292,297.0,74,0.9101
21,235,159,164.0,235,0.8703
21,204,165,170.0,204,0.9711
21,115,166,171.0,115,0.856
21,124,322,64.0,124,0.8306
21,14,194,199.0,14,0.9103
21,21,171,176.0,21,0.7347
21,201,304,309.0,201,0.9672
21,10,178,183.0,10,0.7895
21,28,264,269.0,28,0.9961
21,31,177,182.0,31,0.9066
21,68,182,187.0,68,0.9445
21,174,183,188.0,174,0.9502
21,215,184,189.0,215,0.9725
21,184,187,192.0,184,0.7899
21,161,220,225.0,161,0.9528
21,96,191,196.0,96,0.6866
21,81,315,320.0,81,0.9816
21,232,202,207.0,232,0.9986
21,102,197,202.0,102,0.7419
21,208,206,211.0,208,0.9685
21,93,280,285.0,93,0.8665
21,34,212,217.0,34,0.754
21,142,214,219.0,142,0.7713
21,80,325,42.0,80,0.997
21,64,221,226.0,64,0.831
21,205,254,259.0,205,0.7289
21,189,223,228.0,189,0.9983
21,185,286,291.0,185,0.9101
21,55,276,281.0,55,0.9235
21,203,233,238.0,203,0.9075
21,39,237,242.0,39,0.9659
21,94,240,245.0,94,0.9044
21,88,290,295.0,88,0.9975
21,136,291,296.0,136,0.9981
21,167,324,6.0,167,0.8428
21,206,257,262.0,206,0.7692
21,75,263,268.0,75,0.9076
21,25,267,272.0,25,0.9063
21,105,273,278.0,105,0.9738
21,49,275,280.0,49,0.9489
21,154,281,286.0,154,0.9512
21,156,288,293.0,156,0.8133
21,200,293,298.0,200,0.7484
21,224,296,301.0,224,0.958
21,222,298,303.0,222,0.9402
21,230,299,304.0,230,0.6754
21,130,300,305.0,130,0.9528
21,209,303,308.0,209,0.8132
21,151,308,313.0,151,0.7901
21,159,314,319.0,159,0.7919
21,228,323,33.0,228,0.9279
21,211,326,74.0,211,0.9132
21,1,327,,1,1.0
21,4,328,,4,1.0
21,7,329,,7,1.0
21,79,330,,79,1.0
21,13,331,,13,1.0
21,16,332,,16,1.0
21,20,333,,20,1.0
21,23,334,,23,1.0
21,33,335,,33,1.0
21,37,336,,37,1.0
21,38,337,,38,1.0
21,42,338,,42,1.0
21,43,339,,43,1.0
21,45,340,,45,1.0
21,46,341,,46,1.0
21,47,342,,47,1.0
21,50,343,,50,1.0
21,51,344,,51,1.0
21,54,345,,54,1.0
21,57,346,,57,1.0
21,60,347,,60,1.0
21,62,348,,62,1.0
21,65,349,,65,1.0
21,66,350,,66,1.0
21,77,351,,77,1.0
21,78,352,,78,1.0
21,82,353,,82,1.0
21,83,354,,83,1.0
21,90,355,,90,1.0
21,97,356,,97,1.0
21,98,357,,98,1.0
21,100,358,,100,1.0
21,103,359,,103,1.0
21,104,360,,104,1.0
21,109,361,,109,1.0
21,110,362,,110,1.0
21,111,363,,111,1.0
21,112,364,,112,1.0
21,116,365,,116,1.0
21,118,366,,118,1.0
21,121,367,,121,1.0
21,122,368,,122,1.0
21,125,369,,125,1.0
21,127,370,,127,1.0
21,128,371,,128,1.0
21,137,372,,137,1.0
21,138,373,,138,1.0
21,141,374,,141,1.0
21,143,375,,143,1.0
21,146,376,,146,1.0
21,147,377,,147,1.0
21,148,378,,148,1.0
21,150,379,,150,1.0
21,152,380,,152,1.0
21,153,381,,153,1.0
21,158,382,,158,1.0
21,160,383,,160,1.0
21,164,384,,164,1.0
21,166,385,,166,1.0
21,172,386,,172,1.0
21,175,387,,175,1.0
21,176,388,,176,1.0
21,179,389,,179,1.0
21,182,390,,182,1.0
21,188,391,,188,1.0
21,190,392,,190,1.0
21,192,393,,192,1.0
21,193,394,,193,1.0
21,194,395,,194,1.0
21,195,396,,195,1.0
21,196,397,,196,1.0
21,197,398,,197,1.0
21,199,399,,199,1.0
21,202,400,,202,1.0
21,207,401,,207,1.0
21,210,402,,210,1.0
21,213,403,,213,1.0
21,217,404,,217,1.0
21,218,405,,218,1.0
21,221,406,,221,1.0
21,223,407,,223,1.0
21,225,408,,225,1.0
21,226,409,,226,1.0
21,227,410,,227,1.0
21,229,411,,229,1.0
21,236,412,,236,1.0
21,6,413,,6,1.0
21,8,414,,8,1.0
21,106,415,,106,1.0
21,84,416,,84,1.0
21,24,417,,24,1.0
21,123,418,,123,1.0
22,121,212,34.0,121,0.6425
22,4,23,26.0,4,0.7051
22,355,180,32.0,355,0.8656
22,378,277,3.0,378,0.8371
22,494,380,152.0,494,0.9712
22,1,21,30.0,1,0.6792
22,37,82,113.0,37,0.8562
22,10,330,79.0,10,0.6946
22,18,161,56.0,18,0.7525
22,459,178,10.0,459,0.9503
22,25,92,12.0,25,0.7475
22,156,331,13.0,156,0.6623
22,350,304,201.0,350,0.9251
22,411,238,15.0,411,0.9241
22,40,332,16.0,40,0.7641
22,316,55,17.0,316,0.6745
22,36,38,19.0,36,0.9991
22,532,333,20.0,532,0.9225
22,318,84,119.0,318,0.8908
22,399,225,48.0,399,0.9966
22,460,103,129.0,460,0.8779
22,354,415,106.0,354,0.8823
22,508,232,27.0,508,0.9456
22,457,15,9.0,457,0.9319
22,428,273,105.0,428,0.904
22,463,318,178.0,463,0.8953
22,305,286,185.0,305,0.971
22,278,337,38.0,278,0.9991
22,525,413,6.0,525,0.9095
22,331,301,40.0,331,0.8853
22,195,137,41.0,195,0.791
22,292,282,234.0,292,0.999
