,growth_rate,density_change,degree_change,fraud_growth,clustering_change,feature_drift,variance_drift,lifetime,persistence,average_match_score,node_churn,structural_stability,afei
growth_rate,1.0,-0.5860103273627607,0.45702156688625295,-0.009932802448385984,-0.08859769111220506,-0.05101194969760547,0.06342714065233772,0.02655097515801959,0.02655097515801964,-0.1194373445686221,1.0,-0.40204350096896746,0.6969962649420504
density_change,-0.5860103273627607,1.0,-0.294617584268916,-0.0159315348260856,0.029578159777106636,0.012658950804470827,-0.06234620877800061,0.006726577698997627,0.006726577698997991,-0.09739396846103485,-0.5860103273627608,-0.13711097275500056,-0.2574609987993686
degree_change,0.45702156688625295,-0.294617584268916,1.0,-0.12110764399285114,0.35965432903182104,-0.05001463181066099,0.17976426213079674,0.009254653579508896,0.009254653579508963,0.00630121946445528,0.45702156688625306,0.10253998792103021,0.36889484616872725
fraud_growth,-0.009932802448385984,-0.0159315348260856,-0.12110764399285114,1.0,0.0813028922979262,0.011807477343354435,-0.057823704427497215,-0.009163060098357293,-0.009163060098357377,0.23440112555099038,-0.00993280244838592,0.10890146455783893,0.44598799836882935
clustering_change,-0.08859769111220506,0.029578159777106636,0.35965432903182104,0.0813028922979262,1.0,0.058404730586858834,0.014521546539918367,0.010856666450474952,0.010856666450474667,0.14032961459575327,-0.08859769111220511,0.5412022718214977,0.0809431622900695
feature_drift,-0.05101194969760547,0.012658950804470827,-0.05001463181066099,0.011807477343354435,0.058404730586858834,1.0,0.015372301203042114,-0.0015638764747104158,-0.0015638764747110008,-0.3342646316585117,-0.05101194969760539,0.0657286433432165,0.440153712690823
variance_drift,0.06342714065233772,-0.06234620877800061,0.17976426213079674,-0.057823704427497215,0.014521546539918367,0.015372301203042114,1.0,0.07078522734742945,0.07078522734742934,-0.15732059393038392,0.06342714065233783,-0.0970410687168975,0.1402958838486258
lifetime,0.02655097515801959,0.006726577698997627,0.009254653579508896,-0.009163060098357293,0.010856666450474952,-0.0015638764747104158,0.07078522734742945,1.0,1.0,-0.4004904188334541,0.026550975158020067,-0.07702892195836206,0.03724206005152278
persistence,0.02655097515801964,0.006726577698997991,0.009254653579508963,-0.009163060098357377,0.010856666450474667,-0.0015638764747110008,0.07078522734742934,1.0,1.0,-0.4004904188334541,0.02655097515802009,-0.07702892195836263,0.037242060051522585
average_match_score,-0.1194373445686221,-0.09739396846103485,0.00630121946445528,0.23440112555099038,0.14032961459575327,-0.3342646316585117,-0.15732059393038392,-0.4004904188334541,-0.4004904188334541,1.0,-0.1194373445686224,0.4139909969327213,-0.21895874591297176
node_churn,1.0,-0.5860103273627608,0.45702156688625306,-0.00993280244838592,-0.08859769111220511,-0.05101194969760539,0.06342714065233783,0.026550975158020067,0.02655097515802009,-0.1194373445686224,1.0,-0.4020435009689675,0.6969962649420502
structural_stability,-0.40204350096896746,-0.13711097275500056,0.10253998792103021,0.10890146455783893,0.5412022718214977,0.0657286433432165,-0.0970410687168975,-0.07702892195836206,-0.07702892195836263,0.4139909969327213,-0.4020435009689675,1.0,-0.33325303900513004
afei,0.6969962649420504,-0.2574609987993686,0.36889484616872725,0.44598799836882935,0.0809431622900695,0.440153712690823,0.1402958838486258,0.03724206005152278,0.037242060051522585,-0.21895874591297176,0.6969962649420502,-0.33325303900513004,1.0
