pcid,birth,death,lifetime,persistence,snapshots
0,20,20,1,1,1
1,20,20,1,1,1
2,20,20,1,1,1
3,20,20,1,1,1
4,20,20,1,1,1
5,20,20,1,1,1
6,20,21,2,2,2
7,20,20,1,1,1
8,20,20,1,1,1
9,20,20,1,1,1
10,20,20,1,1,1
11,20,21,2,2,2
12,20,20,1,1,1
13,20,20,1,1,1
14,20,20,1,1,1
15,20,22,3,3,3
16,20,20,1,1,1
17,20,20,1,1,1
18,20,23,4,4,4
19,20,20,1,1,1
20,20,21,2,2,2
21,20,22,3,3,3
22,20,20,1,1,1
23,20,23,4,4,4
24,20,20,1,1,1
25,20,23,4,4,4
26,20,20,1,1,1
27,20,20,1,1,1
28,20,21,2,2,2
29,20,20,1,1,1
30,20,20,1,1,1
31,20,20,1,1,1
32,20,20,1,1,1
33,20,20,1,1,1
34,20,20,1,1,1
35,20,20,1,1,1
36,20,20,1,1,1
37,20,20,1,1,1
38,20,22,3,3,3
39,20,23,4,4,4
40,20,22,3,3,3
41,20,20,1,1,1
42,20,21,2,2,2
43,20,20,1,1,1
44,20,20,1,1,1
45,20,20,1,1,1
46,20,20,1,1,1
47,20,20,1,1,1
48,20,20,1,1,1
49,20,21,2,2,2
50,20,21,2,2,2
51,20,20,1,1,1
52,20,20,1,1,1
53,20,20,1,1,1
54,20,20,1,1,1
55,20,24,5,5,5
56,20,24,5,5,5
57,20,20,1,1,1
58,20,20,1,1,1
59,20,20,1,1,1
60,20,20,1,1,1
61,20,20,1,1,1
62,20,22,3,3,3
63,20,20,1,1,1
64,20,20,1,1,1
65,20,20,1,1,1
66,20,21,2,2,2
67,20,20,1,1,1
68,20,20,1,1,1
69,20,20,1,1,1
70,20,20,1,1,1
71,20,21,2,2,2
72,20,20,1,1,1
73,20,20,1,1,1
74,20,24,5,5,5
75,20,20,1,1,1
76,20,20,1,1,1
77,20,20,1,1,1
78,20,20,1,1,1
79,20,22,3,3,3
80,20,20,1,1,1
81,20,20,1,1,1
82,20,23,4,4,4
83,20,20,1,1,1
84,20,24,5,5,5
85,20,24,5,5,5
86,20,20,1,1,1
87,20,20,1,1,1
88,20,20,1,1,1
89,20,20,1,1,1
90,20,20,1,1,1
91,20,20,1,1,1
92,20,23,4,4,4
93,20,24,5,5,5
94,20,20,1,1,1
95,20,21,2,2,2
96,20,20,1,1,1
97,20,20,1,1,1
98,20,20,1,1,1
99,20,20,1,1,1
100,20,22,3,3,3
101,20,20,1,1,1
102,20,20,1,1,1
103,20,23,4,4,4
104,20,20,1,1,1
105,20,20,1,1,1
106,20,20,1,1,1
107,20,20,1,1,1
108,20,20,1,1,1
109,20,20,1,1,1
110,20,21,2,2,2
111,20,22,3,3,3
112,20,20,1,1,1
113,20,20,1,1,1
114,20,21,2,2,2
115,20,20,1,1,1
116,20,20,1,1,1
117,20,20,1,1,1
118,20,20,1,1,1
119,20,21,2,2,2
120,20,20,1,1,1
121,20,24,5,5,5
122,20,20,1,1,1
123,20,20,1,1,1
124,20,20,1,1,1
125,20,20,1,1,1
126,20,22,3,3,3
127,20,22,3,3,3
128,20,20,1,1,1
129,20,20,1,1,1
130,20,22,3,3,3
131,20,20,1,1,1
132,20,22,3,3,3
133,20,20,1,1,1
134,20,22,3,3,3
135,20,20,1,1,1
136,20,22,3,3,3
137,20,24,5,5,5
138,20,21,2,2,2
139,20,20,1,1,1
140,20,20,1,1,1
141,20,21,2,2,2
142,20,21,2,2,2
143,20,20,1,1,1
144,20,20,1,1,1
145,20,20,1,1,1
146,20,20,1,1,1
147,20,22,3,3,3
148,20,22,3,3,3
149,20,20,1,1,1
150,20,20,1,1,1
151,20,23,4,4,4
152,20,20,1,1,1
153,20,20,1,1,1
154,20,20,1,1,1
155,20,20,1,1,1
156,20,22,3,3,3
157,20,20,1,1,1
158,20,21,2,2,2
159,20,23,4,4,4
160,20,20,1,1,1
161,20,24,5,5,5
162,20,20,1,1,1
163,20,20,1,1,1
164,20,20,1,1,1
165,20,22,3,3,3
166,20,22,3,3,3
167,20,20,1,1,1
168,20,20,1,1,1
169,20,20,1,1,1
170,20,20,1,1,1
171,20,21,2,2,2
172,20,20,1,1,1
173,20,20,1,1,1
174,20,21,2,2,2
175,20,20,1,1,1
176,20,22,3,3,3
177,20,21,2,2,2
178,20,22,3,3,3
179,20,20,1,1,1
180,20,24,5,5,5
181,20,20,1,1,1
182,20,22,3,3,3
183,20,22,3,3,3
184,20,21,2,2,2
185,20,20,1,1,1
186,20,20,1,1,1
187,20,22,3,3,3
188,20,20,1,1,1
189,20,20,1,1,1
190,20,20,1,1,1
191,20,24,5,5,5
192,20,20,1,1,1
193,20,20,1,1,1
194,20,21,2,2,2
195,20,20,1,1,1
196,20,20,1,1,1
197,20,21,2,2,2
198,20,20,1,1,1
199,20,20,1,1,1
200,20,20,1,1,1
201,20,20,1,1,1
202,20,22,3,3,3
203,20,20,1,1,1
204,20,22,3,3,3
205,20,22,3,3,3
206,20,22,3,3,3
207,20,20,1,1,1
208,20,22,3,3,3
209,20,20,1,1,1
210,20,20,1,1,1
211,20,20,1,1,1
212,20,24,5,5,5
213,20,20,1,1,1
214,20,24,5,5,5
215,20,20,1,1,1
216,20,20,1,1,1
217,20,20,1,1,1
218,20,20,1,1,1
219,20,21,2,2,2
220,20,21,2,2,2
221,20,22,3,3,3
222,20,20,1,1,1
223,20,21,2,2,2
224,20,22,3,3,3
225,20,22,3,3,3
226,20,20,1,1,1
227,20,20,1,1,1
228,20,20,1,1,1
229,20,21,2,2,2
230,20,20,1,1,1
231,20,21,2,2,2
232,20,23,4,4,4
233,20,22,3,3,3
234,20,24,5,5,5
235,20,20,1,1,1
236,20,20,1,1,1
237,20,21,2,2,2
238,20,22,3,3,3
239,20,20,1,1,1
240,20,22,3,3,3
241,20,20,1,1,1
242,20,20,1,1,1
243,20,20,1,1,1
244,20,20,1,1,1
245,20,20,1,1,1
246,20,20,1,1,1
247,20,20,1,1,1
248,20,22,3,3,3
249,20,20,1,1,1
250,20,20,1,1,1
251,20,20,1,1,1
252,20,20,1,1,1
253,20,21,2,2,2
254,20,23,4,4,4
255,20,20,1,1,1
256,20,20,1,1,1
257,20,24,5,5,5
258,20,21,2,2,2
259,20,20,1,1,1
260,20,21,2,2,2
261,20,24,5,5,5
262,20,23,4,4,4
263,20,22,3,3,3
264,20,22,3,3,3
265,20,20,1,1,1
266,20,20,1,1,1
267,20,21,2,2,2
268,20,20,1,1,1
269,20,20,1,1,1
270,20,22,3,3,3
271,20,20,1,1,1
272,20,22,3,3,3
273,20,22,3,3,3
274,20,21,2,2,2
275,20,21,2,2,2
276,20,22,3,3,3
277,20,22,3,3,3
278,20,22,3,3,3
279,20,20,1,1,1
280,20,21,2,2,2
281,20,21,2,2,2
282,20,22,3,3,3
283,20,24,5,5,5
284,20,21,2,2,2
285,20,20,1,1,1
286,20,22,3,3,3
287,20,22,3,3,3
288,20,21,2,2,2
289,20,20,1,1,1
290,20,23,4,4,4
291,20,21,2,2,2
292,20,22,3,3,3
293,20,22,3,3,3
294,20,20,1,1,1
295,20,20,1,1,1
296,20,22,3,3,3
297,20,20,1,1,1
298,20,21,2,2,2
299,20,22,3,3,3
300,20,22,3,3,3
301,20,22,3,3,3
302,20,21,2,2,2
303,20,24,5,5,5
304,20,23,4,4,4
305,20,20,1,1,1
306,20,20,1,1,1
307,20,21,2,2,2
308,20,21,2,2,2
309,20,22,3,3,3
310,20,22,3,3,3
311,20,21,2,2,2
312,20,22,3,3,3
313,20,20,1,1,1
314,20,24,5,5,5
315,20,21,2,2,2
316,20,22,3,3,3
317,20,23,4,4,4
318,20,22,3,3,3
319,20,22,3,3,3
320,20,22,3,3,3
321,20,24,5,5,5
322,20,22,3,3,3
323,20,23,4,4,4
324,20,21,2,2,2
325,20,22,3,3,3
326,20,22,3,3,3
327,21,21,1,1,1
328,21,21,1,1,1
329,21,21,1,1,1
330,21,23,3,3,3
331,21,22,2,2,2
332,21,22,2,2,2
333,21,24,4,4,4
334,21,21,1,1,1
335,21,21,1,1,1
336,21,21,1,1,1
337,21,22,2,2,2
338,21,21,1,1,1
339,21,24,4,4,4
340,21,21,1,1,1
341,21,21,1,1,1
342,21,22,2,2,2
343,21,21,1,1,1
344,21,21,1,1,1
345,21,21,1,1,1
346,21,21,1,1,1
347,21,21,1,1,1
348,21,21,1,1,1
349,21,22,2,2,2
350,21,21,1,1,1
351,21,21,1,1,1
352,21,21,1,1,1
353,21,22,2,2,2
