txId,timestep,community,pcid,label
209556175.0,20,0,0,0
52934000.0,20,1,1,0
37574467.0,20,2,2,0
209972191.0,20,2,2,0
73339227.0,20,3,3,0
209837677.0,20,4,4,0
5286455.0,20,5,5,0
209826974.0,20,15,6,0
210644361.0,20,7,7,0
25642291.0,20,7,7,0
209952987.0,20,8,8,1
209952974.0,20,8,8,1
211086336.0,20,9,9,0
209724105.0,20,10,10,0
209045031.0,20,11,11,0
210640906.0,20,11,11,0
209681259.0,20,4,4,0
209118488.0,20,12,12,0
209794811.0,20,12,12,0
209487402.0,20,13,13,0
209678521.0,20,14,14,0
209533787.0,20,14,14,0
209918381.0,20,3,3,0
209537331.0,20,16,15,0
209905828.0,20,17,16,0
210192146.0,20,18,17,0
1275118.0,20,11,11,0
4659656.0,20,11,11,0
209091416.0,20,19,18,1
209692891.0,20,19,18,1
107697436.0,20,19,18,1
209518228.0,20,7,7,0
211078002.0,20,7,7,0
209688652.0,20,20,19,0
209921231.0,20,21,20,0
209824867.0,20,17,16,0
209673949.0,20,22,21,0
209842048.0,20,22,21,0
8182823.0,20,11,11,0
209798865.0,20,23,22,0
1552384.0,20,17,16,0
209818962.0,20,17,16,0
209045727.0,20,24,23,0
209674270.0,20,24,23,0
209892725.0,20,25,24,0
58114564.0,20,26,25,0
208927896.0,20,27,26,0
210570269.0,20,24,23,0
209050993.0,20,10,10,0
209923303.0,20,7,7,0
210488058.0,20,28,27,0
208914286.0,20,28,27,0
210709803.0,20,29,28,0
210943575.0,20,30,29,0
209865519.0,20,2,2,0
209084673.0,20,24,23,0
210640426.0,20,31,30,1
70553579.0,20,32,31,0
208992025.0,20,26,25,0
209973945.0,20,26,25,0
209785341.0,20,28,27,0
209810063.0,20,28,27,0
209060715.0,20,3,3,0
209722457.0,20,23,22,0
209539924.0,20,8,8,1
209802609.0,20,8,8,1
210623843.0,20,91,32,0
210830766.0,20,34,33,0
209683152.0,20,35,34,1
209499354.0,20,35,34,1
210620987.0,20,23,22,0
209968540.0,20,36,35,0
209918443.0,20,3,3,1
209575028.0,20,37,36,0
210646799.0,20,38,37,0
210624714.0,20,39,38,1
209054310.0,20,40,39,0
209706044.0,20,40,39,0
209685472.0,20,41,40,0
210660376.0,20,91,32,0
114134551.0,20,11,11,0
209905405.0,20,17,16,0
209865237.0,20,10,10,0
209797492.0,20,91,32,0
210233819.0,20,91,32,1
210519382.0,20,4,4,1
